median_income,NAME,state,county,tract,GEOID
66809,Census Tract 5516.01; Harris County; Texas,48,201,551601,48201551601
54594,Census Tract 5516.02; Harris County; Texas,48,201,551602,48201551602
133684,Census Tract 5517.02; Harris County; Texas,48,201,551702,48201551702
87346,Census Tract 5517.03; Harris County; Texas,48,201,551703,48201551703
125278,Census Tract 5517.04; Harris County; Texas,48,201,551704,48201551704
107680,Census Tract 5517.05; Harris County; Texas,48,201,551705,48201551705
107337,Census Tract 5518; Harris County; Texas,48,201,551800,48201551800
49931,Census Tract 5519.01; Harris County; Texas,48,201,551901,48201551901
58836,Census Tract 5519.02; Harris County; Texas,48,201,551902,48201551902
69756,Census Tract 5520.02; Harris County; Texas,48,201,552002,48201552002
103434,Census Tract 5520.03; Harris County; Texas,48,201,552003,48201552003
61838,Census Tract 5520.04; Harris County; Texas,48,201,552004,48201552004
89308,Census Tract 5521.01; Harris County; Texas,48,201,552101,48201552101
85500,Census Tract 5521.02; Harris County; Texas,48,201,552102,48201552102
87895,Census Tract 5521.03; Harris County; Texas,48,201,552103,48201552103
85055,Census Tract 5522; Harris County; Texas,48,201,552200,48201552200
84861,Census Tract 5523.01; Harris County; Texas,48,201,552301,48201552301
58586,Census Tract 5523.03; Harris County; Texas,48,201,552303,48201552303
98963,Census Tract 5523.04; Harris County; Texas,48,201,552304,48201552304
49808,Census Tract 5524.01; Harris County; Texas,48,201,552401,48201552401
115461,Census Tract 5524.02; Harris County; Texas,48,201,552402,48201552402
49940,Census Tract 5525.01; Harris County; Texas,48,201,552501,48201552501
75407,Census Tract 5525.02; Harris County; Texas,48,201,552502,48201552502
63574,Census Tract 5526.02; Harris County; Texas,48,201,552602,48201552602
44497,Census Tract 5526.03; Harris County; Texas,48,201,552603,48201552603
73967,Census Tract 5526.04; Harris County; Texas,48,201,552604,48201552604
52770,Census Tract 5527.01; Harris County; Texas,48,201,552701,48201552701
60804,Census Tract 5527.02; Harris County; Texas,48,201,552702,48201552702
79076,Census Tract 5528.01; Harris County; Texas,48,201,552801,48201552801
78493,Census Tract 5528.02; Harris County; Texas,48,201,552802,48201552802
63664,Census Tract 5529.01; Harris County; Texas,48,201,552901,48201552901
116413,Census Tract 5529.02; Harris County; Texas,48,201,552902,48201552902
85701,Census Tract 5530.01; Harris County; Texas,48,201,553001,48201553001
94314,Census Tract 5530.02; Harris County; Texas,48,201,553002,48201553002
92720,Census Tract 5531.01; Harris County; Texas,48,201,553101,48201553101
82970,Census Tract 5531.02; Harris County; Texas,48,201,553102,48201553102
69882,Census Tract 5532.01; Harris County; Texas,48,201,553201,48201553201
47708,Census Tract 5532.02; Harris County; Texas,48,201,553202,48201553202
42946,Census Tract 5533; Harris County; Texas,48,201,553300,48201553300
119700,Census Tract 5534.01; Harris County; Texas,48,201,553401,48201553401
79731,Census Tract 5534.03; Harris County; Texas,48,201,553403,48201553403
142603,Census Tract 5534.04; Harris County; Texas,48,201,553404,48201553404
105250,Census Tract 5534.05; Harris County; Texas,48,201,553405,48201553405
100815,Census Tract 5535; Harris County; Texas,48,201,553500,48201553500
117467,Census Tract 5536.01; Harris County; Texas,48,201,553601,48201553601
55504,Census Tract 5536.02; Harris County; Texas,48,201,553602,48201553602
72338,Census Tract 5537; Harris County; Texas,48,201,553700,48201553700
138608,Census Tract 5538.01; Harris County; Texas,48,201,553801,48201553801
123722,Census Tract 5538.03; Harris County; Texas,48,201,553803,48201553803
75613,Census Tract 5538.04; Harris County; Texas,48,201,553804,48201553804
145481,Census Tract 5539.01; Harris County; Texas,48,201,553901,48201553901
95105,Census Tract 5540.01; Harris County; Texas,48,201,554001,48201554001
171250,Census Tract 5540.02; Harris County; Texas,48,201,554002,48201554002
112500,Census Tract 5541.03; Harris County; Texas,48,201,554103,48201554103
107961,Census Tract 5541.04; Harris County; Texas,48,201,554104,48201554104
81817,Census Tract 5542.01; Harris County; Texas,48,201,554201,48201554201
88650,Census Tract 5542.02; Harris County; Texas,48,201,554202,48201554202
132799,Census Tract 5543.01; Harris County; Texas,48,201,554301,48201554301
112583,Census Tract 5543.02; Harris County; Texas,48,201,554302,48201554302
170500,Census Tract 5544.04; Harris County; Texas,48,201,554404,48201554404
138599,Census Tract 5544.05; Harris County; Texas,48,201,554405,48201554405
134792,Census Tract 5544.06; Harris County; Texas,48,201,554406,48201554406
112344,Census Tract 5544.07; Harris County; Texas,48,201,554407,48201554407
111415,Census Tract 5544.08; Harris County; Texas,48,201,554408,48201554408
146626,Census Tract 5544.09; Harris County; Texas,48,201,554409,48201554409
114125,Census Tract 5544.10; Harris County; Texas,48,201,554410,48201554410
161394,Census Tract 5545.01; Harris County; Texas,48,201,554501,48201554501
145714,Census Tract 5545.02; Harris County; Texas,48,201,554502,48201554502
144630,Census Tract 5546; Harris County; Texas,48,201,554600,48201554600
85032,Census Tract 5547.01; Harris County; Texas,48,201,554701,48201554701
125346,Census Tract 5547.02; Harris County; Texas,48,201,554702,48201554702
142734,Census Tract 5548.03; Harris County; Texas,48,201,554803,48201554803
145760,Census Tract 5548.04; Harris County; Texas,48,201,554804,48201554804
104331,Census Tract 5548.05; Harris County; Texas,48,201,554805,48201554805
116188,Census Tract 5548.06; Harris County; Texas,48,201,554806,48201554806
86937,Census Tract 5548.07; Harris County; Texas,48,201,554807,48201554807
144063,Census Tract 5548.08; Harris County; Texas,48,201,554808,48201554808
118456,Census Tract 5548.09; Harris County; Texas,48,201,554809,48201554809
134836,Census Tract 5549.02; Harris County; Texas,48,201,554902,48201554902
113607,Census Tract 5549.04; Harris County; Texas,48,201,554904,48201554904
124988,Census Tract 5549.05; Harris County; Texas,48,201,554905,48201554905
95102,Census Tract 5549.06; Harris County; Texas,48,201,554906,48201554906
85473,Census Tract 5549.07; Harris County; Texas,48,201,554907,48201554907
108896,Census Tract 5549.08; Harris County; Texas,48,201,554908,48201554908
113548,Census Tract 5550.01; Harris County; Texas,48,201,555001,48201555001
99207,Census Tract 5550.02; Harris County; Texas,48,201,555002,48201555002
86739,Census Tract 5551.01; Harris County; Texas,48,201,555101,48201555101
75625,Census Tract 5551.02; Harris County; Texas,48,201,555102,48201555102
103897,Census Tract 5552; Harris County; Texas,48,201,555200,48201555200
137033,Census Tract 5553.01; Harris County; Texas,48,201,555301,48201555301
132808,Census Tract 5553.03; Harris County; Texas,48,201,555303,48201555303
153462,Census Tract 5553.04; Harris County; Texas,48,201,555304,48201555304
204948,Census Tract 5553.05; Harris County; Texas,48,201,555305,48201555305
88013,Census Tract 5554.01; Harris County; Texas,48,201,555401,48201555401
81653,Census Tract 5554.03; Harris County; Texas,48,201,555403,48201555403
47220,Census Tract 5554.04; Harris County; Texas,48,201,555404,48201555404
109758,Census Tract 5555.01; Harris County; Texas,48,201,555501,48201555501
120704,Census Tract 5555.03; Harris County; Texas,48,201,555503,48201555503
117056,Census Tract 5555.04; Harris County; Texas,48,201,555504,48201555504
138200,Census Tract 5555.05; Harris County; Texas,48,201,555505,48201555505
141665,Census Tract 5556; Harris County; Texas,48,201,555600,48201555600
124271,Census Tract 5557.01; Harris County; Texas,48,201,555701,48201555701
124950,Census Tract 5557.03; Harris County; Texas,48,201,555703,48201555703
173333,Census Tract 5557.04; Harris County; Texas,48,201,555704,48201555704
99269,Census Tract 5560; Harris County; Texas,48,201,556000,48201556000
134444,Census Tract 5561; Harris County; Texas,48,201,556100,48201556100
-666666666,Census Tract 9800; Harris County; Texas,48,201,980000,48201980000
-666666666,Census Tract 9801; Harris County; Texas,48,201,980100,48201980100
-666666666,Census Tract 9802; Harris County; Texas,48,201,980200,48201980200
-666666666,Census Tract 9803; Harris County; Texas,48,201,980300,48201980300
-666666666,Census Tract 9804; Harris County; Texas,48,201,980400,48201980400
139038,Census Tract 9807; Harris County; Texas,48,201,980700,48201980700
